,Mud,Grass,Water,Wall,Air
Mud Right,0.8823529,0,0,0.009803922,0.1078431
Mud Up,0,0.6470588,0.3529412,0,0
Mud Forward,0.8823529,0,0.009803922,0.009803922,0.1449275
Grass Right,0,0.7681159,0.04347826,0.01449275,0.173913
Grass Up,0,0.01449275,0.07246377,0.07246377,0.8405797
Grass Forward,0,0.6811594,0.1449275,0.01449275,0.1341463
Water Right,0.04878049,0.09756097,0.5121951,0.09756097,0.2439024
Water Up,0.01219512,0.01219512,0.3902439,0,0.5853658
Water Forward,0.03658536,0.1341463,0.6463414,0.01219512,1.75
Wall Right,0,0,0,0,1
Wall Up,0.125,0.125,0.375,0.375,0
Wall Forward,0,0.25,0,0.375,0.2142857
Air Right,0.1428571,0,0,0,0.8571429
Air Up,0,0,0.2857143,0,0.7142857
Air Forward,0.07142857,0,0.3571429,0,0.5714286
